x,y,z
0.035,0.0071,-0.141667
0.035,0.0071,-0.136
0.035,0.00355,-0.136
0.035,0.00355,-0.141667
0.035,0.00355,-0.141667
0.035,0.00355,-0.136
0.035,0.0,-0.136
0.035,0.0,-0.141667
0.035,0.0,-0.141667
0.035,0.0,-0.136
0.035,-0.00355,-0.136
0.035,-0.00355,-0.141667
0.035,-0.00355,-0.141667
0.035,-0.00355,-0.136
0.035,-0.0071,-0.136
0.035,-0.0071,-0.141667
0.035,-0.0071,-0.141667
0.035,-0.0071,-0.136
0.035,-0.01065,-0.136
0.035,-0.01065,-0.141667
0.035,-0.01065,-0.141667
0.035,-0.01065,-0.136
0.035,-0.0142,-0.136
0.035,-0.0142,-0.141667
0.035,-0.0142,-0.141667
0.035,-0.0142,-0.136
0.035,-0.01775,-0.136
0.035,-0.01775,-0.141667
0.035,0.01775,-0.136
0.035,0.01775,-0.130333
0.035,0.0142,-0.130333
0.035,0.0142,-0.136
0.035,0.0142,-0.136
0.035,0.0142,-0.130333
0.035,0.01065,-0.130333
0.035,0.01065,-0.136
0.035,0.01065,-0.136
0.035,0.01065,-0.130333
0.035,0.0071,-0.130333
0.035,0.0071,-0.136
0.035,0.0071,-0.136
0.035,0.0071,-0.130333
0.035,0.00355,-0.130333
0.035,0.00355,-0.136
0.035,0.00355,-0.136
0.035,0.00355,-0.130333
0.035,0.0,-0.130333
0.035,0.0,-0.136
0.035,0.0,-0.136
0.035,0.0,-0.130333
0.035,-0.00355,-0.130333
0.035,-0.00355,-0.136
0.035,-0.00355,-0.136
0.035,-0.00355,-0.130333
0.035,-0.0071,-0.130333
0.035,-0.0071,-0.136
0.035,-0.0071,-0.136
0.035,-0.0071,-0.130333
0.035,-0.01065,-0.130333
0.035,-0.01065,-0.136
0.035,-0.01065,-0.136
0.035,-0.01065,-0.130333
0.035,-0.0142,-0.130333
0.035,-0.0142,-0.136
0.035,-0.0142,-0.136
0.035,-0.0142,-0.130333
0.035,-0.01775,-0.130333
0.035,-0.01775,-0.136
0.035,0.01775,-0.130333
0.035,0.01775,-0.124667
0.035,0.0142,-0.124667
0.035,0.0142,-0.130333
0.035,0.0142,-0.130333
0.035,0.0142,-0.124667
0.035,0.01065,-0.124667
0.035,0.01065,-0.130333
0.035,0.01065,-0.130333
0.035,0.01065,-0.124667
0.035,0.0071,-0.124667
0.035,0.0071,-0.130333
0.035,0.0071,-0.130333
0.035,0.0071,-0.124667
0.035,0.00355,-0.124667
0.035,0.00355,-0.130333
0.035,0.00355,-0.130333
0.035,0.00355,-0.124667
0.035,0.0,-0.124667
0.035,0.0,-0.130333
0.035,0.0,-0.130333
0.035,0.0,-0.124667
0.035,-0.00355,-0.124667
0.035,-0.00355,-0.130333
0.035,-0.00355,-0.130333
0.035,-0.00355,-0.124667
0.035,-0.0071,-0.124667
0.035,-0.0071,-0.130333
