x,y,z
-0.5,-0.5,0.0
0.5,-0.5,0.0
0.5,0.5,0.0
-0.5,0.5,0.0
-0.4705882352941993,-0.5,0.0
-0.4411764705883986,-0.5,0.0
-0.4117647058825978,-0.5,0.0
-0.3823529411767971,-0.5,0.0
-0.3529411764709964,-0.5,0.0
-0.3235294117651957,-0.5,0.0
-0.294117647059395,-0.5,0.0
-0.2647058823535943,-0.5,0.0
-0.2352941176477936,-0.5,0.0
-0.2058823529419929,-0.5,0.0
-0.1764705882361922,-0.5,0.0
-0.1470588235303914,-0.5,0.0
-0.1176470588245906,-0.5,0.0
-0.08823529411878994,-0.5,0.0
-0.05882352941298924,-0.5,0.0
-0.02941176470718854,-0.5,0.0
-1.376898595140119e-12,-0.5,0.0
0.02941176470457618,-0.5,0.0
0.05882352941054025,-0.5,0.0
0.08823529411650421,-0.5,0.0
0.1176470588224683,-0.5,0.0
0.1470588235284322,-0.5,0.0
0.1764705882343963,-0.5,0.0
0.2058823529403604,-0.5,0.0
0.2352941176463245,-0.5,0.0
0.2647058823522884,-0.5,0.0
0.2941176470582525,-0.5,0.0
0.3235294117642165,-0.5,0.0
0.3529411764701804,-0.5,0.0
0.3823529411761445,-0.5,0.0
0.4117647058821085,-0.5,0.0
0.4411764705880725,-0.5,0.0
0.4705882352940365,-0.5,0.0
0.5,0.4705882352941993,0.0
0.5,0.4411764705883986,0.0
0.5,0.4117647058825978,0.0
0.5,0.3823529411767971,0.0
0.5,0.3529411764709964,0.0
0.5,0.3235294117651957,0.0
0.5,0.294117647059395,0.0
0.5,0.2647058823535943,0.0
0.5,0.2352941176477936,0.0
0.5,0.2058823529419929,0.0
0.5,0.1764705882361922,0.0
0.5,0.1470588235303914,0.0
0.5,0.1176470588245906,0.0
0.5,0.08823529411878994,0.0
0.5,0.05882352941298924,0.0
0.5,0.02941176470718854,0.0
0.5,1.376898595140119e-12,0.0
0.5,-0.02941176470457618,0.0
0.5,-0.05882352941054025,0.0
0.5,-0.08823529411650421,0.0
0.5,-0.1176470588224683,0.0
