0.00	-6.85
0.05	-6.84
0.10	-6.86
0.15	-6.85
0.20	-6.84
0.25	-6.86
0.30	-6.86
0.35	-6.85
0.40	-6.86
0.45	-6.86
0.50	-6.87
0.55	-6.85
0.60	-6.87
0.65	-6.86
0.70	-6.86
0.75	-6.88
0.80	-6.87
0.85	-6.87
0.90	-6.89
0.94	-6.87
0.99	-6.89
1.04	-6.90
1.09	-6.92
1.14	-6.91
1.19	-6.90
1.24	-6.91
1.29	-6.93
1.34	-6.92
1.39	-6.93
1.44	-6.95
1.49	-6.95
1.54	-6.96
1.59	-6.97
1.64	-6.98
1.69	-6.97
1.74	-7.00
1.79	-7.00
1.84	-7.03
1.89	-7.03
1.94	-7.03
1.99	-7.05
2.04	-7.04
2.09	-7.06
2.14	-7.06
2.19	-7.11
2.24	-7.10
2.29	-7.13
2.34	-7.14
2.39	-7.11
2.44	-7.16
2.49	-7.16
2.54	-7.18
2.59	-7.19
2.64	-7.20
2.69	-7.21
2.73	-7.22
2.78	-7.24
2.83	-7.25
2.88	-7.26
2.93	-7.27
2.98	-7.30
3.03	-7.30
3.08	-7.32
3.13	-7.32
3.18	-7.35
3.23	-7.35
3.28	-7.34
3.33	-7.39
3.38	-7.41
3.43	-7.40
3.48	-7.42
3.53	-7.46
3.58	-7.49
3.63	-7.50
3.68	-7.49
3.73	-7.50
3.78	-7.54
3.83	-7.55
3.88	-7.57
3.93	-7.58
3.98	-7.60
4.03	-7.61
4.08	-7.64
4.13	-7.67
4.18	-7.69
4.23	-7.69
4.28	-7.72
4.33	-7.75
4.38	-7.77
4.43	-7.78
4.48	-7.80
4.52	-7.82
4.57	-7.85
4.62	-7.86
4.67	-7.90
4.72	-7.93
4.77	-7.94
4.82	-8.00
4.87	-8.00
4.92	-8.03
4.97	-8.04
5.02	-8.06
5.07	-8.08
5.12	-8.10
5.17	-8.12
5.22	-8.16
5.27	-8.16
5.32	-8.20
5.37	-8.24
5.42	-8.26
5.47	-8.30
5.52	-8.33
5.57	-8.35
5.62	-8.38
5.67	-8.41
5.72	-8.42
5.77	-8.46
5.82	-8.49
5.87	-8.51
5.92	-8.57
5.97	-8.56
6.02	-8.62
6.07	-8.64
6.12	-8.67
