x,y,z
-0.697332,-0.950000,0.276094
-0.678620,-0.950000,0.319335
-0.657230,-0.950000,0.361315
-0.633246,-0.950000,0.401870
-0.606763,-0.950000,0.440839
-0.577885,-0.950000,0.478068
-0.546726,-0.950000,0.513411
-0.513410,-0.950000,0.546727
-0.478068,-0.950000,0.577885
-0.440839,-0.950000,0.606763
-0.401870,-0.950000,0.633246
-0.361315,-0.950000,0.657230
-0.319334,-0.950000,0.678620
-0.276093,-0.950000,0.697332
-0.231763,-0.950000,0.713292
-0.186517,-0.950000,0.726437
-0.140536,-0.950000,0.736716
-0.094000,-0.950000,0.744086
-0.047093,-0.950000,0.748520
0.047093,-0.900000,0.748520
-0.000000,-0.900000,0.750000
0.094000,-0.900000,0.744086
0.140536,-0.900000,0.736715
0.186517,-0.900000,0.726437
0.231763,-0.900000,0.713292
0.276093,-0.900000,0.697332
0.319334,-0.900000,0.678620
0.361315,-0.900000,0.657230
0.401870,-0.900000,0.633246
0.440839,-0.900000,0.606763
0.478068,-0.900000,0.577885
0.513410,-0.900000,0.546726
0.546727,-0.900000,0.513410
0.577885,-0.900000,0.478068
0.606763,-0.900000,0.440839
0.633246,-0.900000,0.401870
0.657230,-0.900000,0.361315
0.678620,-0.900000,0.319334
0.697332,-0.900000,0.276093
0.713292,-0.900000,0.231763
0.726437,-0.900000,0.186517
0.736715,-0.900000,0.140536
0.744086,-0.900000,0.094000
0.748520,-0.900000,0.047093
0.750000,-0.900000,-0.000000
0.748520,-0.900000,-0.047093
0.744086,-0.900000,-0.094000
0.736715,-0.900000,-0.140536
0.726437,-0.900000,-0.186517
0.713292,-0.900000,-0.231763
0.697332,-0.900000,-0.276093
0.678620,-0.900000,-0.319335
0.657230,-0.900000,-0.361315
0.633246,-0.900000,-0.401870
0.606763,-0.900000,-0.440839
0.577885,-0.900000,-0.478068
0.546726,-0.900000,-0.513410
0.513410,-0.900000,-0.546727
0.478068,-0.900000,-0.577885
0.440839,-0.900000,-0.606763
0.401870,-0.900000,-0.633246
0.361315,-0.900000,-0.657230
0.319334,-0.900000,-0.678620
0.276093,-0.900000,-0.697332
0.231763,-0.900000,-0.713292
0.186517,-0.900000,-0.726437
0.140536,-0.900000,-0.736715
0.094000,-0.900000,-0.744086
0.047093,-0.900000,-0.748520
-0.000000,-0.900000,-0.750000
-0.047093,-0.900000,-0.748520
-0.094000,-0.900000,-0.744086
-0.140536,-0.900000,-0.736715
-0.186518,-0.900000,-0.726437
-0.231763,-0.900000,-0.713292
-0.276094,-0.900000,-0.697332
-0.319335,-0.900000,-0.678620
-0.361315,-0.900000,-0.657230
-0.401870,-0.900000,-0.633246
-0.440839,-0.900000,-0.606763
-0.478068,-0.900000,-0.577885
-0.513411,-0.900000,-0.546726
-0.546727,-0.900000,-0.513410
-0.577885,-0.900000,-0.478068
-0.606763,-0.900000,-0.440839
-0.633246,-0.900000,-0.401870
-0.657230,-0.900000,-0.361315
-0.678620,-0.900000,-0.319334
-0.697332,-0.900000,-0.276093
-0.713293,-0.900000,-0.231763
-0.726438,-0.900000,-0.186517
-0.736715,-0.900000,-0.140536
-0.744086,-0.900000,-0.094000
-0.748520,-0.900000,-0.047093
-0.750000,-0.900000,0.000000
-0.748520,-0.900000,0.047093
-0.744086,-0.900000,0.094000
-0.736715,-0.900000,0.140536
-0.726437,-0.900000,0.186518
-0.713292,-0.900000,0.231763
-0.697332,-0.900000,0.276094
-0.678620,-0.900000,0.319335
-0.657230,-0.900000,0.361315
-0.633246,-0.900000,0.401870
-0.606763,-0.900000,0.440839
-0.577885,-0.900000,0.478068
-0.546726,-0.900000,0.513411
-0.513410,-0.900000,0.546727
-0.478068,-0.900000,0.577885
-0.440839,-0.900000,0.606763
-0.401870,-0.900000,0.633246
-0.361315,-0.900000,0.657230
-0.319334,-0.900000,0.678620
-0.276093,-0.900000,0.697332
-0.231763,-0.900000,0.713292
-0.186517,-0.900000,0.726437
-0.140536,-0.900000,0.736716
-0.094000,-0.900000,0.744086
-0.047093,-0.900000,0.748520
0.047093,-0.850000,0.748520
-0.000000,-0.850000,0.750000
0.094000,-0.850000,0.744086
0.140536,-0.850000,0.736715
0.186517,-0.850000,0.726437
0.231763,-0.850000,0.713292
0.276093,-0.850000,0.697332
0.319334,-0.850000,0.678620
0.361315,-0.850000,0.657230
0.401870,-0.850000,0.633246
0.440839,-0.850000,0.606763
0.478068,-0.850000,0.577885
0.513410,-0.850000,0.546726
0.546727,-0.850000,0.513410
0.577885,-0.850000,0.478068
0.606763,-0.850000,0.440839
0.633246,-0.850000,0.401870
0.657230,-0.850000,0.361315
0.678620,-0.850000,0.319334
0.697332,-0.850000,0.276093
0.713292,-0.850000,0.231763
0.726437,-0.850000,0.186517
