Длина волны в свободном пространстве = 0.299792
Full matrix memory usage: 2095.48 Gb
Toeplitz matrix memory usage: 14.3729 Gb
Toeplitz and compressed matrix memory usage: 1.05538 Gb
Profit with toeplitz: 145.794
Profit with toeplitz and compressed: 1985.52
Мозаичный ранг = 188
GMRES without precond
258 it: 0.000573886,
259 it: 0.000564681,
260 it: 0.000554389,
261 it: 0.000544275,
262 it: 0.000533179,
263 it: 0.000522209,
264 it: 0.000511197,
265 it: 0.000501918,
266 it: 0.000493877,
267 it: 0.000485738,
268 it: 0.000478907,
269 it: 0.000471515,
270 it: 0.000464891,
271 it: 0.000457542,
272 it: 0.00045046,
273 it: 0.000444115,
274 it: 0.000437592,
275 it: 0.000429675,
276 it: 0.000423282,
277 it: 0.000416752,
278 it: 0.00041064,
279 it: 0.000405186,
280 it: 0.000399148,
281 it: 0.000393567,
282 it: 0.000387834,
283 it: 0.000381823,
284 it: 0.000376199,
285 it: 0.000370734,
286 it: 0.000365089,
287 it: 0.000358365,
288 it: 0.000352363,
289 it: 0.000347548,
290 it: 0.000340298,
291 it: 0.000334638,
292 it: 0.000328103,
293 it: 0.000322426,
294 it: 0.000316917,
295 it: 0.00031136,
296 it: 0.000307006,
297 it: 0.000301964,
298 it: 0.000297262,
