f,s,t,fou,group
2,48,68,18,PerfectCondCondition
48,49,69,68,PerfectCondCondition
49,50,70,69,PerfectCondCondition
50,51,71,70,PerfectCondCondition
51,52,72,71,PerfectCondCondition
52,6,37,72,PerfectCondCondition
18,68,73,19,PerfectCondCondition
68,69,74,73,PerfectCondCondition
69,70,75,74,PerfectCondCondition
70,71,76,75,PerfectCondCondition
71,72,77,76,PerfectCondCondition
72,37,36,77,PerfectCondCondition
19,73,78,20,PerfectCondCondition
73,74,79,78,PerfectCondCondition
74,75,80,79,PerfectCondCondition
75,76,81,80,PerfectCondCondition
76,77,82,81,PerfectCondCondition
77,36,35,82,PerfectCondCondition
20,78,83,21,PerfectCondCondition
78,79,84,83,PerfectCondCondition
79,80,85,84,PerfectCondCondition
80,81,86,85,PerfectCondCondition
81,82,87,86,PerfectCondCondition
82,35,34,87,PerfectCondCondition
21,83,88,22,PerfectCondCondition
83,84,89,88,PerfectCondCondition
84,85,90,89,PerfectCondCondition
85,86,91,90,PerfectCondCondition
86,87,92,91,PerfectCondCondition
87,34,33,92,PerfectCondCondition
22,88,63,3,PerfectCondCondition
88,89,64,63,PerfectCondCondition
89,90,65,64,PerfectCondCondition
90,91,66,65,PerfectCondCondition
91,92,67,66,PerfectCondCondition
92,33,7,67,PerfectCondCondition
0,58,93,8,PerfectCondCondition
58,59,94,93,PerfectCondCondition
59,60,95,94,PerfectCondCondition
60,61,96,95,PerfectCondCondition
61,62,97,96,PerfectCondCondition
62,4,47,97,PerfectCondCondition
8,93,98,9,PerfectCondCondition
93,94,99,98,PerfectCondCondition
94,95,100,99,PerfectCondCondition
95,96,101,100,PerfectCondCondition
96,97,102,101,PerfectCondCondition
97,47,46,102,PerfectCondCondition
9,98,103,10,PerfectCondCondition
98,99,104,103,PerfectCondCondition
99,100,105,104,PerfectCondCondition
100,101,106,105,PerfectCondCondition
101,102,107,106,PerfectCondCondition
102,46,45,107,PerfectCondCondition
10,103,108,11,PerfectCondCondition
103,104,109,108,PerfectCondCondition
104,105,110,109,PerfectCondCondition
105,106,111,110,PerfectCondCondition
106,107,112,111,PerfectCondCondition
107,45,44,112,PerfectCondCondition
11,108,113,12,PerfectCondCondition
108,109,114,113,PerfectCondCondition
109,110,115,114,PerfectCondCondition
110,111,116,115,PerfectCondCondition
111,112,117,116,PerfectCondCondition
112,44,43,117,PerfectCondCondition
12,113,53,1,PerfectCondCondition
113,114,54,53,PerfectCondCondition
114,115,55,54,PerfectCondCondition
115,116,56,55,PerfectCondCondition
116,117,57,56,PerfectCondCondition
117,43,5,57,PerfectCondCondition
1,53,118,13,PerfectCondCondition
13,118,119,14,PerfectCondCondition
14,119,120,15,PerfectCondCondition
15,120,121,16,PerfectCondCondition
16,121,122,17,PerfectCondCondition
17,122,48,2,PerfectCondCondition
53,54,123,118,PerfectCondCondition
118,123,124,119,PerfectCondCondition
119,124,125,120,PerfectCondCondition
120,125,126,121,PerfectCondCondition
121,126,127,122,PerfectCondCondition
122,127,49,48,PerfectCondCondition
54,55,128,123,PerfectCondCondition
123,128,129,124,PerfectCondCondition
124,129,130,125,PerfectCondCondition
125,130,131,126,PerfectCondCondition
126,131,132,127,PerfectCondCondition
127,132,50,49,PerfectCondCondition
55,56,133,128,PerfectCondCondition
128,133,134,129,PerfectCondCondition
129,134,135,130,PerfectCondCondition
130,135,136,131,PerfectCondCondition
131,136,137,132,PerfectCondCondition
132,137,51,50,PerfectCondCondition
56,57,138,133,PerfectCondCondition
133,138,139,134,PerfectCondCondition
134,139,140,135,PerfectCondCondition
135,140,141,136,PerfectCondCondition
136,141,142,137,PerfectCondCondition
137,142,52,51,PerfectCondCondition
57,5,42,138,PerfectCondCondition
138,42,41,139,PerfectCondCondition
139,41,40,140,PerfectCondCondition
140,40,39,141,PerfectCondCondition
141,39,38,142,PerfectCondCondition
142,38,6,52,PerfectCondCondition
0,27,143,58,PerfectCondCondition
27,26,144,143,PerfectCondCondition
26,25,145,144,PerfectCondCondition
25,24,146,145,PerfectCondCondition
24,23,147,146,PerfectCondCondition
23,3,63,147,PerfectCondCondition
58,143,148,59,PerfectCondCondition
143,144,149,148,PerfectCondCondition
144,145,150,149,PerfectCondCondition
145,146,151,150,PerfectCondCondition
146,147,152,151,PerfectCondCondition
147,63,64,152,PerfectCondCondition
59,148,153,60,PerfectCondCondition
148,149,154,153,PerfectCondCondition
149,150,155,154,PerfectCondCondition
150,151,156,155,PerfectCondCondition
151,152,157,156,PerfectCondCondition
152,64,65,157,PerfectCondCondition
60,153,158,61,PerfectCondCondition
153,154,159,158,PerfectCondCondition
154,155,160,159,PerfectCondCondition
155,156,161,160,PerfectCondCondition
156,157,162,161,PerfectCondCondition
157,65,66,162,PerfectCondCondition
61,158,163,62,PerfectCondCondition
158,159,164,163,PerfectCondCondition
159,160,165,164,PerfectCondCondition
160,161,166,165,PerfectCondCondition
161,162,167,166,PerfectCondCondition
162,66,67,167,PerfectCondCondition
62,163,28,4,PerfectCondCondition
163,164,29,28,PerfectCondCondition
164,165,30,29,PerfectCondCondition
165,166,31,30,PerfectCondCondition
166,167,32,31,PerfectCondCondition
167,67,7,32,PerfectCondCondition
